ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	4106.084756097561	4106.084756097561	
1	4112.705487804878	4112.705487804878	
2	4112.121951219512	4112.121951219512	
3	4111.321341463415	4111.321341463415	
4	4110.745731707317	4110.745731707317	
5	4111.082317073171	4111.082317073171	
6	4110.376829268293	4110.376829268293	
7	4111.221341463414	4111.221341463414	
8	4111.729268292683	4111.729268292683	
9	4110.137195121952	4110.137195121952	
