time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_taxi	arrivals_taxi	stuck_taxi	en-route_taxi
10:25:00	37500	0	100	0	179	0	100	0	179
10:30:00	37800	470	80	0	569	470	80	0	569
10:35:00	38100	0	272	0	297	0	272	0	297
10:40:00	38400	0	102	0	195	0	102	0	195
10:45:00	38700	464	84	0	575	464	84	0	575
10:50:00	39000	0	290	0	285	0	290	0	285
10:55:00	39300	0	111	0	174	0	111	0	174
11:00:00	39600	517	88	0	603	517	88	0	603
11:05:00	39900	0	292	0	311	0	292	0	311
11:10:00	40200	0	148	0	163	0	148	0	163
11:15:00	40500	475	78	0	560	475	78	0	560
11:20:00	40800	0	275	0	285	0	275	0	285
11:25:00	41100	0	116	0	169	0	116	0	169
11:30:00	41400	471	89	0	551	471	89	0	551
11:35:00	41700	0	261	0	290	0	261	0	290
11:40:00	42000	0	129	0	161	0	129	0	161
11:45:00	42300	582	88	0	655	582	88	0	655
11:50:00	42600	0	318	0	337	0	318	0	337
11:55:00	42900	0	136	0	201	0	136	0	201
12:00:00	43200	587	94	0	694	587	94	0	694
12:05:00	43500	0	338	0	356	0	338	0	356
12:10:00	43800	0	147	0	209	0	147	0	209
12:15:00	44100	545	101	0	653	545	101	0	653
12:20:00	44400	0	353	0	300	0	353	0	300
12:25:00	44700	0	133	0	167	0	133	0	167
12:30:00	45000	542	83	0	626	542	83	0	626
12:35:00	45300	0	334	0	292	0	334	0	292
12:40:00	45600	0	125	0	167	0	125	0	167
12:45:00	45900	592	77	0	682	592	77	0	682
12:50:00	46200	0	372	0	310	0	372	0	310
12:55:00	46500	0	141	0	169	0	141	0	169
13:00:00	46800	534	81	0	622	534	81	0	622
13:05:00	47100	0	347	0	275	0	347	0	275
13:10:00	47400	0	110	0	165	0	110	0	165
13:15:00	47700	574	89	0	650	574	89	0	650
13:20:00	48000	0	336	0	314	0	336	0	314
13:25:00	48300	0	127	0	187	0	127	0	187
13:30:00	48600	534	89	0	632	534	89	0	632
13:35:00	48900	0	314	0	318	0	314	0	318
13:40:00	49200	0	111	0	207	0	111	0	207
13:45:00	49500	584	86	0	705	584	86	0	705
13:50:00	49800	0	329	0	376	0	329	0	376
13:55:00	50100	0	137	0	239	0	137	0	239
14:00:00	50400	540	110	0	669	540	110	0	669
14:05:00	50700	0	334	0	335	0	334	0	335
14:10:00	51000	0	124	0	211	0	124	0	211
14:15:00	51300	553	96	0	668	553	96	0	668
14:20:00	51600	0	341	0	327	0	341	0	327
14:25:00	51900	0	131	0	196	0	131	0	196
14:30:00	52200	529	123	0	602	529	123	0	602
14:35:00	52500	0	305	0	297	0	305	0	297
14:40:00	52800	0	115	0	182	0	115	0	182
14:45:00	53100	600	85	0	697	600	85	0	697
14:50:00	53400	0	326	0	371	0	326	0	371
14:55:00	53700	0	128	0	243	0	128	0	243
15:00:00	54000	542	125	0	660	542	125	0	660
15:05:00	54300	0	350	0	310	0	350	0	310
15:10:00	54600	0	105	0	205	0	105	0	205
15:15:00	54900	534	98	0	641	534	98	0	641
15:20:00	55200	0	323	0	318	0	323	0	318
15:25:00	55500	0	138	0	180	0	138	0	180
15:30:00	55800	539	87	0	632	539	87	0	632
15:35:00	56100	0	310	0	322	0	310	0	322
15:40:00	56400	0	136	0	186	0	136	0	186
15:45:00	56700	558	84	0	660	558	84	0	660
15:50:00	57000	0	336	0	324	0	336	0	324
15:55:00	57300	0	128	0	196	0	128	0	196
16:00:00	57600	612	87	0	721	612	87	0	721
16:05:00	57900	0	319	0	402	0	319	0	402
16:10:00	58200	0	178	0	224	0	178	0	224
16:15:00	58500	608	104	0	728	608	104	0	728
16:20:00	58800	0	359	0	369	0	359	0	369
16:25:00	59100	0	165	0	204	0	165	0	204
16:30:00	59400	695	100	0	799	695	100	0	799
16:35:00	59700	0	352	0	447	0	352	0	447
16:40:00	60000	0	190	0	257	0	190	0	257
16:45:00	60300	670	133	0	794	670	133	0	794
16:50:00	60600	0	362	0	432	0	362	0	432
16:55:00	60900	0	198	0	234	0	198	0	234
17:00:00	61200	681	120	0	795	681	120	0	795
17:05:00	61500	0	386	0	409	0	386	0	409
17:10:00	61800	0	183	0	226	0	183	0	226
17:15:00	62100	663	122	0	767	663	122	0	767
17:20:00	62400	0	376	0	391	0	376	0	391
17:25:00	62700	0	175	0	216	0	175	0	216
17:30:00	63000	660	137	0	739	660	137	0	739
17:35:00	63300	0	374	0	365	0	374	0	365
17:40:00	63600	0	169	0	196	0	169	0	196
17:45:00	63900	613	111	0	698	613	111	0	698
17:50:00	64200	0	368	0	330	0	368	0	330
17:55:00	64500	0	171	0	159	0	171	0	159
18:00:00	64800	610	110	0	659	610	110	0	659
18:05:00	65100	0	322	0	337	0	322	0	337
18:10:00	65400	0	161	0	176	0	161	0	176
18:15:00	65700	604	121	0	659	604	121	0	659
18:20:00	66000	0	328	0	331	0	328	0	331
18:25:00	66300	0	147	0	184	0	147	0	184
18:30:00	66600	589	122	0	651	589	122	0	651
18:35:00	66900	0	325	0	326	0	325	0	326
18:40:00	67200	0	141	0	185	0	141	0	185
18:45:00	67500	522	107	0	600	522	107	0	600
18:50:00	67800	0	304	0	296	0	304	0	296
18:55:00	68100	0	138	0	158	0	138	0	158
19:00:00	68400	476	75	0	559	476	75	0	559
19:05:00	68700	0	287	0	272	0	287	0	272
19:10:00	69000	0	123	0	149	0	123	0	149
19:15:00	69300	473	82	0	540	473	82	0	540
19:20:00	69600	0	260	0	280	0	260	0	280
19:25:00	69900	0	120	0	160	0	120	0	160
19:30:00	70200	472	91	0	541	472	91	0	541
19:35:00	70500	0	213	0	328	0	213	0	328
19:40:00	70800	0	140	0	188	0	140	0	188
19:45:00	71100	397	119	0	466	397	119	0	466
19:50:00	71400	0	223	0	243	0	223	0	243
19:55:00	71700	0	102	0	141	0	102	0	141
20:00:00	72000	404	86	0	459	404	86	0	459
20:05:00	72300	0	198	0	261	0	198	0	261
20:10:00	72600	0	83	0	178	0	83	0	178
20:15:00	72900	373	84	0	467	373	84	0	467
20:20:00	73200	0	191	0	276	0	191	0	276
20:25:00	73500	0	99	0	177	0	99	0	177
20:30:00	73800	362	97	0	442	362	97	0	442
20:35:00	74100	0	150	0	292	0	150	0	292
20:40:00	74400	0	100	0	192	0	100	0	192
20:45:00	74700	338	79	0	451	338	79	0	451
20:50:00	75000	0	173	0	278	0	173	0	278
20:55:00	75300	0	82	0	196	0	82	0	196
21:00:00	75600	338	94	0	440	338	94	0	440
21:05:00	75900	0	170	0	270	0	170	0	270
21:10:00	76200	0	97	0	173	0	97	0	173
21:15:00	76500	329	83	0	419	329	83	0	419
21:20:00	76800	0	165	0	254	0	165	0	254
21:25:00	77100	0	107	0	147	0	107	0	147
21:30:00	77400	265	76	0	336	265	76	0	336
21:35:00	77700	0	137	0	199	0	137	0	199
21:40:00	78000	0	90	0	109	0	90	0	109
21:45:00	78300	282	50	0	341	282	50	0	341
21:50:00	78600	0	120	0	221	0	120	0	221
21:55:00	78900	0	85	0	136	0	85	0	136
22:00:00	79200	254	61	0	329	254	61	0	329
22:05:00	79500	0	102	0	227	0	102	0	227
22:10:00	79800	0	68	0	159	0	68	0	159
22:15:00	80100	233	74	0	318	233	74	0	318
22:20:00	80400	0	119	0	199	0	119	0	199
22:25:00	80700	0	74	0	125	0	74	0	125
22:30:00	81000	233	71	0	287	233	71	0	287
22:35:00	81300	0	97	0	190	0	97	0	190
22:40:00	81600	0	78	0	112	0	78	0	112
22:45:00	81900	212	51	0	273	212	51	0	273
22:50:00	82200	0	101	0	172	0	101	0	172
22:55:00	82500	0	57	0	115	0	57	0	115
23:00:00	82800	173	44	0	244	173	44	0	244
23:05:00	83100	0	89	0	155	0	89	0	155
23:10:00	83400	0	60	0	95	0	60	0	95
23:15:00	83700	169	37	0	227	169	37	0	227
23:20:00	84000	0	79	0	148	0	79	0	148
23:25:00	84300	0	54	0	94	0	54	0	94
23:30:00	84600	163	40	0	217	163	40	0	217
23:35:00	84900	0	72	0	145	0	72	0	145
23:40:00	85200	0	44	0	101	0	44	0	101
23:45:00	85500	111	48	0	164	111	48	0	164
23:50:00	85800	0	44	0	120	0	44	0	120
23:55:00	86100	0	49	0	71	0	49	0	71
24:00:00	86400	0	20	0	51	0	20	0	51
24:05:00	86700	0	18	0	33	0	18	0	33
24:10:00	87000	0	15	0	18	0	15	0	18
24:15:00	87300	0	10	0	8	0	10	0	8
24:20:00	87600	0	8	0	0	0	8	0	0
24:25:00	87900	0	0	0	0	0	0	0	0
24:30:00	88200	0	0	0	0	0	0	0	0
24:35:00	88500	0	0	0	0	0	0	0	0
24:40:00	88800	0	0	0	0	0	0	0	0
24:45:00	89100	0	0	0	0	0	0	0	0
24:50:00	89400	0	0	0	0	0	0	0	0
24:55:00	89700	0	0	0	0	0	0	0	0
25:00:00	90000	0	0	0	0	0	0	0	0
25:05:00	90300	0	0	0	0	0	0	0	0
25:10:00	90600	0	0	0	0	0	0	0	0
25:15:00	90900	0	0	0	0	0	0	0	0
25:20:00	91200	0	0	0	0	0	0	0	0
25:25:00	91500	0	0	0	0	0	0	0	0
25:30:00	91800	0	0	0	0	0	0	0	0
25:35:00	92100	0	0	0	0	0	0	0	0
25:40:00	92400	0	0	0	0	0	0	0	0
25:45:00	92700	0	0	0	0	0	0	0	0
25:50:00	93000	0	0	0	0	0	0	0	0
25:55:00	93300	0	0	0	0	0	0	0	0
26:00:00	93600	0	0	0	0	0	0	0	0
26:05:00	93900	0	0	0	0	0	0	0	0
26:10:00	94200	0	0	0	0	0	0	0	0
26:15:00	94500	0	0	0	0	0	0	0	0
26:20:00	94800	0	0	0	0	0	0	0	0
26:25:00	95100	0	0	0	0	0	0	0	0
26:30:00	95400	0	0	0	0	0	0	0	0
26:35:00	95700	0	0	0	0	0	0	0	0
26:40:00	96000	0	0	0	0	0	0	0	0
26:45:00	96300	0	0	0	0	0	0	0	0
26:50:00	96600	0	0	0	0	0	0	0	0
26:55:00	96900	0	0	0	0	0	0	0	0
27:00:00	97200	0	0	0	0	0	0	0	0
27:05:00	97500	0	0	0	0	0	0	0	0
27:10:00	97800	0	0	0	0	0	0	0	0
27:15:00	98100	0	0	0	0	0	0	0	0
27:20:00	98400	0	0	0	0	0	0	0	0
27:25:00	98700	0	0	0	0	0	0	0	0
27:30:00	99000	0	0	0	0	0	0	0	0
27:35:00	99300	0	0	0	0	0	0	0	0
27:40:00	99600	0	0	0	0	0	0	0	0
27:45:00	99900	0	0	0	0	0	0	0	0
27:50:00	100200	0	0	0	0	0	0	0	0
27:55:00	100500	0	0	0	0	0	0	0	0
28:00:00	100800	0	0	0	0	0	0	0	0
28:05:00	101100	0	0	0	0	0	0	0	0
28:10:00	101400	0	0	0	0	0	0	0	0
28:15:00	101700	0	0	0	0	0	0	0	0
28:20:00	102000	0	0	0	0	0	0	0	0
28:25:00	102300	0	0	0	0	0	0	0	0
28:30:00	102600	0	0	0	0	0	0	0	0
28:35:00	102900	0	0	0	0	0	0	0	0
28:40:00	103200	0	0	0	0	0	0	0	0
28:45:00	103500	0	0	0	0	0	0	0	0
28:50:00	103800	0	0	0	0	0	0	0	0
28:55:00	104100	0	0	0	0	0	0	0	0
29:00:00	104400	0	0	0	0	0	0	0	0
29:05:00	104700	0	0	0	0	0	0	0	0
29:10:00	105000	0	0	0	0	0	0	0	0
29:15:00	105300	0	0	0	0	0	0	0	0
29:20:00	105600	0	0	0	0	0	0	0	0
29:25:00	105900	0	0	0	0	0	0	0	0
29:30:00	106200	0	0	0	0	0	0	0	0
29:35:00	106500	0	0	0	0	0	0	0	0
29:40:00	106800	0	0	0	0	0	0	0	0
29:45:00	107100	0	0	0	0	0	0	0	0
29:50:00	107400	0	0	0	0	0	0	0	0
29:55:00	107700	0	0	0	0	0	0	0	0
30:00:00	108000	0	0	0	0	0	0	0	0
30:05:00	108300	0	0	0	0	0	0	0	0
