time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
09:20	138.0	78.0	437.0	46.0	301.0	0.0
09:25	72.0	10.0	224.0	54.0	640.0	0.0
09:30	31.0	14.0	149.0	16.0	790.0	0.0
09:35	86.0	66.0	399.0	43.0	406.0	0.0
09:40	23.0	16.0	224.0	39.0	698.0	0.0
09:45	9.0	2.0	143.0	18.0	828.0	0.0
09:50	148.0	71.0	395.0	56.0	330.0	0.0
09:55	81.0	16.0	208.0	51.0	644.0	0.0
10:00	30.0	24.0	124.0	21.0	801.0	0.0
10:05	122.0	43.0	431.0	42.0	362.0	0.0
10:10	62.0	14.0	204.0	42.0	678.0	0.0
10:15	32.0	8.0	135.0	18.0	807.0	0.0
10:20	103.0	47.0	352.0	47.0	451.0	0.0
10:25	49.0	24.0	180.0	26.0	721.0	0.0
10:30	16.0	10.0	137.0	16.0	821.0	0.0
10:35	94.0	45.0	381.0	49.0	431.0	0.0
10:40	50.0	18.0	196.0	33.0	703.0	0.0
10:45	26.0	9.0	140.0	20.0	805.0	0.0
10:50	95.0	43.0	383.0	54.0	425.0	0.0
10:55	27.0	17.0	210.0	31.0	715.0	0.0
11:00	11.0	3.0	139.0	21.0	826.0	0.0
11:05	117.0	38.0	387.0	61.0	397.0	0.0
11:10	51.0	13.0	191.0	56.0	689.0	0.0
11:15	24.0	10.0	112.0	17.0	837.0	0.0
11:20	90.0	38.0	382.0	50.0	440.0	0.0
11:25	39.0	11.0	204.0	31.0	715.0	0.0
11:30	14.0	9.0	135.0	11.0	831.0	0.0
11:35	71.0	41.0	398.0	41.0	449.0	0.0
11:40	24.0	14.0	215.0	37.0	710.0	0.0
11:45	8.0	2.0	134.0	17.0	839.0	0.0
11:50	138.0	35.0	440.0	42.0	345.0	0.0
11:55	75.0	20.0	201.0	41.0	663.0	0.0
12:00	25.0	23.0	141.0	12.0	799.0	0.0
12:05	149.0	60.0	435.0	50.0	306.0	0.0
12:10	61.0	20.0	233.0	42.0	644.0	0.0
12:15	20.0	17.0	157.0	15.0	791.0	0.0
12:20	99.0	46.0	448.0	60.0	347.0	0.0
12:25	29.0	20.0	212.0	39.0	700.0	0.0
12:30	13.0	3.0	131.0	20.0	833.0	0.0
12:35	74.0	57.0	436.0	59.0	374.0	0.0
12:40	32.0	24.0	198.0	38.0	708.0	0.0
12:45	15.0	2.0	141.0	9.0	833.0	0.0
12:50	98.0	40.0	492.0	52.0	318.0	0.0
12:55	36.0	24.0	218.0	32.0	690.0	0.0
13:00	18.0	10.0	131.0	10.0	831.0	0.0
13:05	66.0	37.0	455.0	64.0	378.0	0.0
13:10	35.0	12.0	203.0	25.0	725.0	0.0
13:15	15.0	2.0	137.0	11.0	835.0	0.0
13:20	120.0	58.0	417.0	55.0	350.0	0.0
13:25	51.0	17.0	218.0	28.0	686.0	0.0
13:30	23.0	8.0	139.0	17.0	813.0	0.0
13:35	136.0	49.0	379.0	68.0	368.0	0.0
13:40	69.0	21.0	194.0	34.0	682.0	0.0
13:45	31.0	12.0	145.0	19.0	793.0	0.0
13:50	142.0	72.0	433.0	58.0	295.0	0.0
13:55	65.0	27.0	248.0	36.0	624.0	0.0
14:00	29.0	7.0	191.0	12.0	761.0	0.0
14:05	108.0	60.0	443.0	58.0	331.0	0.0
14:10	56.0	13.0	233.0	33.0	665.0	0.0
14:15	26.0	5.0	154.0	26.0	789.0	0.0
14:20	97.0	78.0	435.0	58.0	332.0	0.0
14:25	40.0	23.0	237.0	27.0	673.0	0.0
14:30	11.0	10.0	151.0	24.0	804.0	0.0
14:35	115.0	36.0	392.0	59.0	398.0	0.0
14:40	58.0	22.0	188.0	29.0	703.0	0.0
14:45	19.0	15.0	129.0	19.0	818.0	0.0
14:50	148.0	61.0	435.0	53.0	303.0	0.0
14:55	80.0	28.0	226.0	37.0	629.0	0.0
15:00	36.0	18.0	166.0	23.0	757.0	0.0
15:05	86.0	51.0	462.0	61.0	340.0	0.0
15:10	45.0	15.0	222.0	28.0	690.0	0.0
15:15	26.0	4.0	156.0	19.0	795.0	0.0
15:20	98.0	71.0	428.0	44.0	359.0	0.0
15:25	38.0	25.0	221.0	34.0	682.0	0.0
15:30	18.0	6.0	138.0	18.0	820.0	0.0
15:35	119.0	61.0	393.0	59.0	368.0	0.0
15:40	42.0	26.0	208.0	46.0	678.0	0.0
15:45	17.0	5.0	150.0	14.0	814.0	0.0
15:50	98.0	77.0	447.0	38.0	340.0	0.0
15:55	39.0	19.0	230.0	36.0	676.0	0.0
16:00	12.0	7.0	158.0	19.0	804.0	0.0
16:05	158.0	81.0	425.0	57.0	279.0	0.0
16:10	64.0	45.0	247.0	46.0	598.0	0.0
16:15	29.0	11.0	155.0	29.0	776.0	0.0
16:20	164.0	80.0	415.0	69.0	272.0	0.0
16:25	64.0	31.0	226.0	48.0	631.0	0.0
16:30	31.0	7.0	138.0	28.0	796.0	0.0
16:35	200.0	100.0	443.0	56.0	201.0	0.0
16:40	82.0	44.0	276.0	45.0	553.0	0.0
16:45	44.0	14.0	165.0	34.0	743.0	0.0
16:50	169.0	109.0	452.0	64.0	206.0	0.0
16:55	65.0	35.0	282.0	50.0	568.0	0.0
17:00	31.0	5.0	172.0	26.0	766.0	0.0
17:05	158.0	105.0	469.0	63.0	205.0	0.0
17:10	68.0	41.0	247.0	53.0	591.0	0.0
17:15	31.0	18.0	154.0	23.0	774.0	0.0
17:20	158.0	89.0	464.0	56.0	233.0	0.0
17:25	52.0	39.0	251.0	49.0	609.0	0.0
17:30	14.0	12.0	157.0	33.0	784.0	0.0
17:35	140.0	92.0	453.0	54.0	261.0	0.0
17:40	46.0	43.0	240.0	36.0	635.0	0.0
17:45	22.0	10.0	140.0	24.0	804.0	0.0
17:50	109.0	86.0	437.0	66.0	302.0	0.0
17:55	25.0	29.0	235.0	41.0	670.0	0.0
18:00	5.0	8.0	123.0	23.0	841.0	0.0
18:05	150.0	69.0	400.0	40.0	341.0	0.0
18:10	27.0	34.0	229.0	47.0	663.0	0.0
18:15	11.0	4.0	142.0	19.0	824.0	0.0
18:20	138.0	71.0	398.0	52.0	341.0	0.0
18:25	34.0	33.0	226.0	38.0	669.0	0.0
18:30	9.0	8.0	147.0	20.0	816.0	0.0
18:35	144.0	73.0	378.0	56.0	349.0	0.0
18:40	43.0	33.0	207.0	43.0	674.0	0.0
18:45	19.0	9.0	129.0	28.0	815.0	0.0
18:50	100.0	62.0	391.0	47.0	400.0	0.0
18:55	32.0	26.0	205.0	33.0	704.0	0.0
19:00	8.0	8.0	127.0	15.0	842.0	0.0
19:05	97.0	65.0	353.0	44.0	441.0	0.0
19:10	28.0	25.0	186.0	33.0	728.0	0.0
19:15	12.0	7.0	111.0	19.0	851.0	0.0
19:20	120.0	54.0	323.0	43.0	460.0	0.0
19:25	30.0	30.0	189.0	31.0	720.0	0.0
19:30	4.0	8.0	130.0	18.0	840.0	0.0
19:35	129.0	75.0	306.0	31.0	459.0	0.0
19:40	53.0	32.0	200.0	43.0	672.0	0.0
19:45	6.0	11.0	147.0	24.0	812.0	0.0
19:50	70.0	45.0	306.0	45.0	534.0	0.0
19:55	23.0	17.0	174.0	29.0	757.0	0.0
20:00	3.0	5.0	118.0	15.0	859.0	0.0
20:05	122.0	41.0	256.0	40.0	541.0	0.0
20:10	40.0	33.0	168.0	20.0	739.0	0.0
20:15	9.0	7.0	139.0	23.0	822.0	0.0
20:20	123.0	39.0	253.0	52.0	533.0	0.0
20:25	55.0	32.0	170.0	19.0	724.0	0.0
20:30	18.0	13.0	125.0	21.0	823.0	0.0
20:35	124.0	37.0	253.0	28.0	558.0	0.0
20:40	63.0	30.0	177.0	22.0	708.0	0.0
20:45	25.0	9.0	143.0	15.0	808.0	0.0
20:50	116.0	34.0	260.0	41.0	549.0	0.0
20:55	55.0	22.0	179.0	22.0	722.0	0.0
21:00	33.0	7.0	139.0	17.0	804.0	0.0
21:05	93.0	38.0	280.0	29.0	560.0	0.0
21:10	49.0	23.0	170.0	28.0	730.0	0.0
21:15	5.0	15.0	137.0	16.0	827.0	0.0
21:20	72.0	35.0	279.0	33.0	581.0	0.0
21:25	17.0	34.0	178.0	25.0	746.0	0.0
21:30	3.0	4.0	127.0	13.0	853.0	0.0
21:35	43.0	58.0	209.0	26.0	664.0	0.0
21:40	14.0	16.0	141.0	28.0	801.0	0.0
21:45	0.0	4.0	91.0	14.0	891.0	0.0
21:50	85.0	31.0	195.0	30.0	659.0	0.0
21:55	48.0	17.0	134.0	22.0	779.0	0.0
22:00	20.0	11.0	90.0	15.0	864.0	0.0
22:05	87.0	47.0	164.0	31.0	671.0	0.0
22:10	41.0	24.0	144.0	18.0	773.0	0.0
22:15	23.0	10.0	108.0	18.0	841.0	0.0
22:20	68.0	44.0	182.0	24.0	682.0	0.0
22:25	30.0	17.0	143.0	9.0	801.0	0.0
22:30	5.0	9.0	99.0	12.0	875.0	0.0
22:35	61.0	50.0	148.0	28.0	713.0	0.0
22:40	37.0	11.0	128.0	14.0	810.0	0.0
22:45	15.0	7.0	80.0	10.0	888.0	0.0
22:50	37.0	45.0	181.0	10.0	727.0	0.0
22:55	20.0	5.0	134.0	13.0	828.0	0.0
23:00	10.0	6.0	87.0	12.0	885.0	0.0
23:05	47.0	26.0	153.0	18.0	756.0	0.0
23:10	28.0	11.0	103.0	13.0	845.0	0.0
23:15	16.0	1.0	73.0	5.0	905.0	0.0
23:20	45.0	25.0	143.0	14.0	773.0	0.0
23:25	18.0	8.0	104.0	18.0	852.0	0.0
23:30	5.0	6.0	75.0	8.0	906.0	0.0
23:35	49.0	27.0	124.0	17.0	783.0	0.0
23:40	28.0	14.0	95.0	8.0	855.0	0.0
23:45	16.0	4.0	72.0	9.0	899.0	0.0
23:50	29.0	25.0	101.0	9.0	836.0	0.0
23:55	10.0	11.0	86.0	13.0	880.0	0.0
24:00	3.0	4.0	60.0	4.0	929.0	0.0
24:05	0.0	0.0	49.0	2.0	0.0	0.0
24:10	0.0	0.0	31.0	2.0	0.0	0.0
24:15	0.0	0.0	15.0	3.0	0.0	0.0
24:20	0.0	0.0	6.0	2.0	0.0	0.0
