time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
09:20	138.0	99.0	408.0	44.0	311.0	0.0
09:25	76.0	14.0	225.0	44.0	641.0	0.0
09:30	33.0	16.0	147.0	13.0	791.0	0.0
09:35	106.0	62.0	389.0	46.0	397.0	0.0
09:40	41.0	17.0	214.0	46.0	682.0	0.0
09:45	20.0	8.0	132.0	22.0	818.0	0.0
09:50	140.0	81.0	415.0	55.0	309.0	0.0
09:55	73.0	12.0	224.0	46.0	645.0	0.0
10:00	34.0	15.0	128.0	18.0	805.0	0.0
10:05	130.0	58.0	403.0	47.0	362.0	0.0
10:10	53.0	19.0	212.0	42.0	674.0	0.0
10:15	22.0	10.0	136.0	19.0	813.0	0.0
10:20	89.0	44.0	373.0	39.0	455.0	0.0
10:25	39.0	17.0	187.0	27.0	730.0	0.0
10:30	11.0	5.0	139.0	15.0	830.0	0.0
10:35	105.0	37.0	368.0	54.0	436.0	0.0
10:40	53.0	16.0	200.0	23.0	708.0	0.0
10:45	21.0	6.0	146.0	17.0	810.0	0.0
10:50	110.0	36.0	375.0	51.0	428.0	0.0
10:55	37.0	18.0	205.0	22.0	718.0	0.0
11:00	14.0	7.0	150.0	22.0	807.0	0.0
11:05	131.0	43.0	384.0	43.0	399.0	0.0
11:10	69.0	15.0	193.0	32.0	691.0	0.0
11:15	26.0	17.0	126.0	19.0	812.0	0.0
11:20	78.0	45.0	397.0	54.0	426.0	0.0
11:25	33.0	10.0	199.0	32.0	726.0	0.0
11:30	11.0	5.0	137.0	14.0	833.0	0.0
11:35	71.0	35.0	404.0	49.0	441.0	0.0
11:40	23.0	17.0	208.0	42.0	710.0	0.0
11:45	9.0	2.0	136.0	14.0	839.0	0.0
11:50	149.0	27.0	434.0	44.0	346.0	0.0
11:55	70.0	25.0	203.0	48.0	654.0	0.0
12:00	25.0	13.0	146.0	16.0	800.0	0.0
12:05	147.0	64.0	432.0	50.0	307.0	0.0
12:10	69.0	21.0	231.0	41.0	638.0	0.0
12:15	31.0	16.0	149.0	25.0	779.0	0.0
12:20	109.0	56.0	438.0	65.0	332.0	0.0
12:25	46.0	22.0	195.0	48.0	689.0	0.0
12:30	20.0	6.0	135.0	16.0	823.0	0.0
12:35	88.0	52.0	437.0	48.0	375.0	0.0
12:40	34.0	19.0	213.0	33.0	701.0	0.0
12:45	17.0	2.0	138.0	17.0	826.0	0.0
12:50	107.0	35.0	482.0	54.0	322.0	0.0
12:55	41.0	25.0	222.0	37.0	675.0	0.0
13:00	18.0	9.0	135.0	19.0	819.0	0.0
13:05	69.0	29.0	457.0	64.0	381.0	0.0
13:10	32.0	15.0	198.0	26.0	729.0	0.0
13:15	16.0	6.0	125.0	20.0	833.0	0.0
13:20	114.0	47.0	430.0	60.0	349.0	0.0
13:25	53.0	21.0	197.0	37.0	692.0	0.0
13:30	20.0	7.0	142.0	19.0	812.0	0.0
13:35	127.0	55.0	392.0	62.0	364.0	0.0
13:40	68.0	21.0	198.0	32.0	681.0	0.0
13:45	28.0	10.0	147.0	12.0	803.0	0.0
13:50	137.0	71.0	441.0	58.0	293.0	0.0
13:55	64.0	37.0	229.0	39.0	631.0	0.0
14:00	29.0	7.0	178.0	21.0	765.0	0.0
14:05	115.0	69.0	420.0	58.0	338.0	0.0
14:10	59.0	14.0	235.0	32.0	660.0	0.0
14:15	17.0	8.0	171.0	27.0	777.0	0.0
14:20	104.0	72.0	431.0	59.0	334.0	0.0
14:25	41.0	23.0	235.0	34.0	667.0	0.0
14:30	13.0	11.0	155.0	18.0	803.0	0.0
14:35	108.0	48.0	395.0	56.0	393.0	0.0
14:40	59.0	24.0	182.0	33.0	702.0	0.0
14:45	16.0	10.0	136.0	17.0	821.0	0.0
14:50	128.0	59.0	452.0	49.0	312.0	0.0
14:55	64.0	21.0	234.0	44.0	637.0	0.0
15:00	18.0	19.0	158.0	19.0	786.0	0.0
15:05	71.0	49.0	468.0	60.0	352.0	0.0
15:10	24.0	26.0	211.0	38.0	701.0	0.0
15:15	7.0	7.0	144.0	24.0	818.0	0.0
15:20	71.0	90.0	424.0	44.0	371.0	0.0
15:25	24.0	21.0	221.0	38.0	696.0	0.0
15:30	10.0	3.0	130.0	20.0	837.0	0.0
15:35	108.0	78.0	383.0	52.0	379.0	0.0
15:40	38.0	27.0	205.0	47.0	683.0	0.0
15:45	13.0	10.0	146.0	13.0	818.0	0.0
15:50	104.0	76.0	431.0	43.0	346.0	0.0
15:55	48.0	18.0	225.0	38.0	671.0	0.0
16:00	19.0	8.0	156.0	22.0	795.0	0.0
16:05	173.0	75.0	426.0	59.0	267.0	0.0
16:10	68.0	50.0	246.0	37.0	599.0	0.0
16:15	31.0	12.0	154.0	37.0	766.0	0.0
16:20	161.0	83.0	407.0	69.0	280.0	0.0
16:25	55.0	35.0	236.0	49.0	625.0	0.0
16:30	20.0	13.0	142.0	23.0	802.0	0.0
16:35	198.0	87.0	438.0	61.0	216.0	0.0
16:40	86.0	33.0	265.0	57.0	559.0	0.0
16:45	43.0	21.0	155.0	26.0	755.0	0.0
16:50	170.0	110.0	464.0	57.0	199.0	0.0
16:55	69.0	42.0	265.0	49.0	575.0	0.0
17:00	18.0	12.0	191.0	20.0	759.0	0.0
17:05	152.0	107.0	479.0	53.0	209.0	0.0
17:10	58.0	44.0	247.0	51.0	600.0	0.0
17:15	26.0	13.0	151.0	24.0	786.0	0.0
17:20	138.0	93.0	480.0	52.0	237.0	0.0
17:25	44.0	42.0	245.0	53.0	616.0	0.0
17:30	17.0	6.0	150.0	21.0	806.0	0.0
17:35	144.0	87.0	451.0	62.0	256.0	0.0
17:40	38.0	41.0	247.0	39.0	635.0	0.0
17:45	11.0	9.0	139.0	25.0	816.0	0.0
17:50	101.0	77.0	440.0	64.0	318.0	0.0
17:55	19.0	28.0	228.0	43.0	682.0	0.0
18:00	9.0	5.0	119.0	24.0	843.0	0.0
18:05	147.0	77.0	398.0	47.0	331.0	0.0
18:10	33.0	43.0	213.0	48.0	663.0	0.0
18:15	9.0	4.0	148.0	21.0	818.0	0.0
18:20	136.0	70.0	409.0	53.0	332.0	0.0
18:25	35.0	34.0	225.0	41.0	665.0	0.0
18:30	9.0	7.0	145.0	21.0	818.0	0.0
18:35	150.0	66.0	391.0	51.0	342.0	0.0
18:40	37.0	32.0	220.0	53.0	658.0	0.0
18:45	14.0	12.0	126.0	21.0	827.0	0.0
18:50	96.0	54.0	384.0	58.0	408.0	0.0
18:55	33.0	21.0	212.0	31.0	703.0	0.0
19:00	11.0	8.0	128.0	12.0	841.0	0.0
19:05	99.0	69.0	346.0	43.0	443.0	0.0
19:10	28.0	24.0	197.0	42.0	709.0	0.0
19:15	9.0	9.0	110.0	22.0	850.0	0.0
19:20	107.0	72.0	321.0	38.0	462.0	0.0
19:25	28.0	34.0	185.0	27.0	726.0	0.0
19:30	4.0	10.0	131.0	17.0	838.0	0.0
19:35	140.0	63.0	295.0	34.0	468.0	0.0
19:40	56.0	26.0	198.0	37.0	683.0	0.0
19:45	9.0	13.0	142.0	19.0	817.0	0.0
19:50	65.0	56.0	316.0	45.0	518.0	0.0
19:55	27.0	18.0	177.0	30.0	748.0	0.0
20:00	3.0	4.0	118.0	20.0	855.0	0.0
20:05	121.0	37.0	269.0	31.0	542.0	0.0
20:10	43.0	29.0	170.0	15.0	743.0	0.0
20:15	8.0	7.0	137.0	21.0	827.0	0.0
20:20	119.0	42.0	258.0	43.0	538.0	0.0
20:25	65.0	27.0	155.0	25.0	728.0	0.0
20:30	14.0	14.0	138.0	13.0	821.0	0.0
20:35	124.0	34.0	260.0	28.0	554.0	0.0
20:40	61.0	30.0	174.0	22.0	713.0	0.0
20:45	29.0	10.0	139.0	13.0	809.0	0.0
20:50	120.0	32.0	259.0	38.0	551.0	0.0
