time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_taxi	arrivals_taxi	stuck_taxi	en-route_taxi
10:25:00	37500	0	100	0	170	0	100	0	170
10:30:00	37800	470	76	0	564	470	76	0	564
10:35:00	38100	0	272	0	292	0	272	0	292
10:40:00	38400	0	102	0	190	0	102	0	190
10:45:00	38700	464	82	0	572	464	82	0	572
10:50:00	39000	0	290	0	282	0	290	0	282
10:55:00	39300	0	89	0	193	0	89	0	193
11:00:00	39600	517	109	0	601	517	109	0	601
11:05:00	39900	0	292	0	309	0	292	0	309
11:10:00	40200	0	121	0	188	0	121	0	188
11:15:00	40500	475	89	0	574	475	89	0	574
11:20:00	40800	0	300	0	274	0	300	0	274
11:25:00	41100	0	107	0	167	0	107	0	167
11:30:00	41400	471	79	0	559	471	79	0	559
11:35:00	41700	0	269	0	290	0	269	0	290
11:40:00	42000	0	129	0	161	0	129	0	161
11:45:00	42300	582	89	0	654	582	89	0	654
11:50:00	42600	0	308	0	346	0	308	0	346
11:55:00	42900	0	146	0	200	0	146	0	200
12:00:00	43200	587	94	0	693	587	94	0	693
12:05:00	43500	0	331	0	362	0	331	0	362
12:10:00	43800	0	141	0	221	0	141	0	221
12:15:00	44100	545	98	0	668	545	98	0	668
12:20:00	44400	0	357	0	311	0	357	0	311
12:25:00	44700	0	134	0	177	0	134	0	177
12:30:00	45000	542	94	0	625	542	94	0	625
12:35:00	45300	0	326	0	299	0	326	0	299
12:40:00	45600	0	125	0	174	0	125	0	174
12:45:00	45900	592	88	0	678	592	88	0	678
12:50:00	46200	0	353	0	325	0	353	0	325
12:55:00	46500	0	144	0	181	0	144	0	181
13:00:00	46800	534	96	0	619	534	96	0	619
13:05:00	47100	0	348	0	271	0	348	0	271
13:10:00	47400	0	104	0	167	0	104	0	167
13:15:00	47700	574	90	0	651	574	90	0	651
13:20:00	48000	0	343	0	308	0	343	0	308
13:25:00	48300	0	120	0	188	0	120	0	188
13:30:00	48600	534	86	0	636	534	86	0	636
13:35:00	48900	0	317	0	319	0	317	0	319
13:40:00	49200	0	122	0	197	0	122	0	197
13:45:00	49500	584	73	0	708	584	73	0	708
13:50:00	49800	0	339	0	369	0	339	0	369
13:55:00	50100	0	134	0	235	0	134	0	235
